Title,Year,Genre,Runtime,Budget,BoxOffice,Director,Rating,Country
Golden Revenge,1991,Action,116.0,,413.8,Christopher Jones,6.8,France
Dark Legacy,2009,Action,100.0,10.7,15.6,James Jones,5.7,Germany
Crimson Reckoning,2017,Romance,173.0,204.5,142.6,James Smith,8.8,UK
Secret Journey,1996,Comedy,124.0,74.1,261.3,Kathryn Davis,8.3,Canada
Dark Journey,1997,Action,99.0,34.0,113.7,Quentin Jones,,Canada
Dark Shadow,2003,Drama,98.0,175.7,702.6,Christopher Smith,4.7,Japan
Whispering Horizon,2006,Sci-Fi,87.0,,634.5,David Johnson,5.5,Canada
Lost Revenge,1993,Action,134.0,,,Sofia Taylor,6.8,Canada
Secret Dimension,1991,Action,81.0,185.1,590.7,Quentin Miller,4.7,Germany
Electric Reckoning,1995,Comedy,131.0,201.9,768.6,Kathryn Johnson,7.1,USA
Frozen Legacy,1993,Romance,110.0,74.1,257.4,Sofia Johnson,5.7,Japan
Silent Echo,2018,Romance,119.0,48.5,,Martin Smith,6.6,South Korea
Crimson Whisper,2007,Thriller,94.0,188.9,392.3,Quentin Moore,5.8,India
Secret Odyssey,2015,Comedy,139.0,202.7,193.0,James Moore,4.9,USA
Crimson Echo,1999,Drama,82.0,247.7,951.0,Sofia Davis,9.2,South Korea
Whispering Journey,2003,Romance,90.0,106.1,278.2,Ridley Williams,8.0,UK
Midnight Reckoning,2020,Sci-Fi,88.0,96.1,125.0,James Brown,3.9,USA
Lost Reckoning,2004,Comedy,150.0,195.2,556.5,Steven Brown,8.6,Germany
Whispering Whisper,1997,Action,161.0,88.5,235.7,Sofia Moore,6.2,South Korea
Secret Whisper,2003,Sci-Fi,89.0,233.0,408.6,Steven Williams,8.8,UK
Golden Dimension,2012,Sci-Fi,166.0,215.3,193.2,Christopher Smith,8.2,Japan
Lost Legacy,2010,Action,172.0,110.1,313.8,Sofia Davis,5.8,India
Whispering Quest,2005,Comedy,140.0,189.0,438.7,Sofia Moore,3.1,UK
Midnight Echo,2007,Action,106.0,189.9,608.3,Quentin Williams,4.7,Canada
Secret Empire,2013,Thriller,161.0,30.3,70.3,Quentin Brown,6.5,France
Electric Whisper,2015,Sci-Fi,137.0,226.1,787.4,Quentin Williams,7.1,UK
Burning Journey,2014,Horror,160.0,128.8,313.2,Kathryn Jones,4.7,UK
Secret Quest,2018,Horror,125.0,207.5,511.1,Greta Taylor,3.9,India
Electric Dimension,2004,Drama,99.0,83.4,297.6,Greta Johnson,8.4,France
Frozen Whisper,1990,Romance,132.0,224.4,,Sofia Wilson,9.4,Canada
Crimson Legacy,2014,Action,137.0,100.4,97.3,Ridley Wilson,6.4,South Korea
Burning Quest,1996,Action,136.0,7.7,4.6,Christopher Davis,4.1,South Korea
Dark Quest,1998,Drama,96.0,226.8,712.8,James Miller,4.8,UK
Electric Horizon,2013,Drama,132.0,27.4,73.2,James Moore,3.1,Germany
Silent Empire,1990,Drama,132.0,83.2,246.6,James Smith,8.9,Germany
Secret Legacy,1997,Sci-Fi,160.0,237.8,296.2,Ridley Johnson,3.8,France
Hidden Reckoning,2013,Thriller,123.0,237.9,232.5,Quentin Wilson,6.7,France
Broken Shadow,2000,Action,126.0,145.5,80.2,Sofia Williams,4.8,Canada
Broken Quest,2006,Sci-Fi,116.0,159.8,276.0,Ridley Williams,6.6,India
Broken Whisper,1997,Drama,,114.9,294.7,David Davis,7.2,Japan
Secret Reckoning,2022,Action,89.0,76.8,143.8,Christopher Miller,8.4,South Korea
Golden Empire,1994,Sci-Fi,128.0,85.5,173.7,Christopher Wilson,4.3,India
Lost Empire,2017,Thriller,134.0,169.8,622.2,Kathryn Jones,3.1,USA
Midnight Odyssey,1996,Sci-Fi,175.0,189.3,325.4,James Jones,3.9,South Korea
Silent Odyssey,1998,Thriller,171.0,198.9,457.3,Ridley Jones,8.9,India
Secret Promise,1997,Drama,82.0,198.5,643.7,David Moore,8.7,South Korea
Silent Revenge,2001,Thriller,127.0,27.3,51.5,James Brown,6.9,Japan
Silent Legacy,2022,Action,134.0,126.1,337.6,Ridley Smith,6.9,USA
Burning Echo,2012,Drama,79.0,19.1,67.2,Martin Davis,7.3,Germany
Broken Odyssey,2013,Action,177.0,139.6,533.7,Steven Taylor,4.1,Germany
Golden Shadow,2011,Horror,,113.2,114.9,Quentin Taylor,8.9,Japan
Frozen Journey,2016,Comedy,80.0,222.5,832.8,James Davis,5.7,Canada
Golden Whisper,1990,Thriller,170.0,91.0,202.2,David Jones,5.5,USA
Golden Reckoning,2003,Comedy,168.0,33.7,47.3,Sofia Jones,6.4,UK
Burning Horizon,1992,Comedy,121.0,40.0,84.3,Sofia Wilson,3.3,India
Lost Horizon,1990,Thriller,173.0,191.6,,Quentin Jones,4.1,USA
Golden Legacy,1994,Drama,129.0,156.5,348.1,Steven Williams,7.8,Canada
Broken Dimension,2015,Horror,114.0,29.8,49.2,Christopher Jones,3.5,Canada
Electric Quest,2003,Action,126.0,25.6,69.6,Martin Taylor,6.9,Japan
Hidden Empire,2016,Sci-Fi,90.0,176.7,236.9,Quentin Jones,4.6,South Korea
Silent Whisper,1998,Action,87.0,22.8,17.5,Kathryn Wilson,5.5,USA
Broken Journey,2004,Sci-Fi,104.0,206.4,196.3,David Davis,,India
Burning Promise,2004,Action,93.0,178.0,168.8,Sofia Miller,5.3,USA
Electric Odyssey,2015,Thriller,91.0,24.9,25.7,Kathryn Taylor,7.7,France
Hidden Legacy,2002,Horror,137.0,25.8,25.4,Sofia Johnson,4.9,South Korea
Crimson Shadow,2021,Sci-Fi,93.0,246.7,,Greta Smith,6.7,India
Hidden Whisper,2021,Romance,166.0,96.7,109.9,Sofia Jones,6.1,Germany
Lost Shadow,1993,Drama,132.0,95.8,163.8,Martin Brown,7.3,India
Burning Legacy,2019,Action,129.0,204.1,742.7,Sofia Brown,9.1,UK
Midnight Promise,2012,Action,164.0,237.1,511.9,Sofia Taylor,7.8,Japan
Crimson Odyssey,2004,Sci-Fi,175.0,246.6,699.5,James Taylor,4.4,UK
Crimson Journey,2018,Drama,164.0,189.6,209.2,Greta Davis,3.2,India
Golden Quest,2002,Drama,136.0,97.2,114.0,Christopher Wilson,4.7,South Korea
Crimson Quest,2021,Thriller,97.0,25.5,,Greta Davis,6.9,USA
Dark Empire,1996,Romance,83.0,195.4,213.2,Ridley Smith,3.3,Germany
Burning Empire,2011,Thriller,86.0,141.8,209.2,Quentin Brown,6.2,USA
Whispering Reckoning,2017,Thriller,75.0,,121.9,Kathryn Jones,6.9,South Korea
Hidden Revenge,1991,Thriller,132.0,227.1,184.1,David Miller,5.2,India
Frozen Revenge,1995,Thriller,75.0,32.2,29.7,Greta Smith,8.0,Canada
Burning Shadow,2017,Thriller,108.0,125.7,265.6,David Miller,3.7,USA
Silent Journey,2017,Horror,170.0,7.8,9.5,Christopher Wilson,3.5,Canada
Electric Echo,2009,Drama,122.0,119.8,212.6,Quentin Moore,7.7,USA
Midnight Revenge,2019,Thriller,163.0,18.8,42.5,Quentin Moore,6.2,USA
Crimson Horizon,2000,Drama,,34.1,99.4,Kathryn Jones,7.5,Germany
Golden Horizon,2017,Drama,75.0,33.8,21.6,Greta Brown,5.8,Japan
Dark Promise,2014,Comedy,90.0,164.1,541.2,Kathryn Moore,4.6,Japan
Silent Quest,2022,Horror,135.0,187.8,506.6,Christopher Jones,8.3,France
Silent Shadow,1990,Thriller,177.0,147.9,116.3,Greta Taylor,8.2,UK
Crimson Dimension,2016,Action,138.0,240.7,856.3,David Johnson,7.5,South Korea
Electric Promise,2002,Sci-Fi,137.0,96.8,360.4,Ridley Johnson,4.8,South Korea
Lost Odyssey,1992,Romance,143.0,75.0,53.5,Steven Smith,,South Korea
Burning Dimension,1995,Action,96.0,,320.0,Christopher Davis,5.3,France
Burning Whisper,1997,Horror,167.0,59.8,198.6,Sofia Moore,3.6,Japan
Silent Horizon,2016,Sci-Fi,141.0,241.0,751.7,Ridley Jones,9.0,India
Midnight Dimension,1998,Horror,150.0,8.0,9.2,David Brown,3.9,Canada
Whispering Shadow,2022,Drama,100.0,242.6,299.1,Sofia Smith,9.2,Germany
Broken Reckoning,2013,Sci-Fi,90.0,15.6,28.0,James Davis,5.9,Canada
Golden Odyssey,2004,Drama,125.0,223.3,490.3,Kathryn Johnson,4.2,India
Secret Echo,2021,Action,175.0,134.3,357.8,Quentin Smith,6.5,Germany
Lost Quest,2021,Action,160.0,248.3,444.8,Ridley Smith,8.7,France
Lost Journey,2013,Sci-Fi,131.0,23.1,48.9,Martin Moore,7.8,India
Whispering Legacy,2001,Sci-Fi,,140.7,438.4,James Jones,8.2,South Korea
Secret Horizon,1991,Thriller,152.0,242.5,152.4,David Davis,7.3,UK
Frozen Odyssey,1992,Horror,166.0,133.2,184.3,Sofia Smith,7.5,USA
Whispering Echo,2006,Thriller,143.0,159.2,477.1,Ridley Smith,8.5,Canada
Frozen Echo,1991,Horror,121.0,175.5,,Ridley Williams,4.6,Japan
Burning Revenge,1991,Thriller,168.0,116.4,266.7,Sofia Williams,6.2,Japan
Broken Empire,2017,Drama,136.0,158.8,375.1,James Wilson,4.4,France
Midnight Shadow,2012,Sci-Fi,143.0,148.2,129.7,Christopher Johnson,9.4,Germany
Hidden Horizon,2021,Action,150.0,225.8,466.5,James Williams,9.1,Japan
Frozen Promise,2022,Horror,90.0,16.1,38.1,Steven Johnson,,South Korea
Midnight Whisper,1990,Horror,164.0,73.8,99.5,David Smith,7.6,Canada
Silent Dimension,2008,Action,164.0,237.9,343.1,Steven Davis,9.0,India
Dark Dimension,1991,Thriller,122.0,223.1,406.2,Christopher Jones,4.2,South Korea
Broken Revenge,2015,Horror,159.0,116.6,66.5,James Wilson,6.7,France
